dataset,nome_id,nome_sorteado,strategy,threads_per_file,quantidade_execucoes,media_wall_time_ms,menor_wall_time_ms,maior_wall_time_ms,media_process_cpu_time_ms,media_cpu_usage_approx_percent,media_heap_delta_bytes
grande,1,Mrs. Courtney Murray,multiThreadPerFile,2,5,22.72562,21.0217,23.5446,81.25,29.967198200000002,3192600.0
grande,1,Mrs. Courtney Murray,multiThreadPerFile,4,5,23.14544,22.3733,23.7806,81.25,29.415004800000002,5439806.4
grande,1,Mrs. Courtney Murray,multiThreadPerFile,8,5,22.97858,22.5825,23.4326,112.5,40.7346102,8225756.8
grande,1,Mrs. Courtney Murray,oneThreadPerFile,0,5,37.519040000000004,34.4078,41.9269,300.0,66.0948082,8391923.2
grande,1,Mrs. Courtney Murray,sequencial,0,5,13.82626,13.519,14.7835,37.5,22.6960584,1577014.4
grande,1,Mrs. Courtney Murray,singleThread,0,5,17.43228,16.3313,19.0269,40.625,19.586987599999997,2181008.0
grande,2,Nicholas Stone,multiThreadPerFile,2,5,22.21368,20.8092,23.139,65.625,24.836683,3192598.4
grande,2,Nicholas Stone,multiThreadPerFile,4,5,23.11432,21.8408,24.4397,106.25,38.0447246,5204936.0
grande,2,Nicholas Stone,multiThreadPerFile,8,5,23.8099,23.0344,24.9998,109.375,38.316478000000004,8393564.8
grande,2,Nicholas Stone,oneThreadPerFile,0,5,32.67252,30.3051,34.944,231.25,58.567418399999994,8395192.0
grande,2,Nicholas Stone,sequencial,0,5,11.57772,11.2668,11.8462,28.125,20.236505,1006664.0
grande,2,Nicholas Stone,singleThread,0,5,14.05602,13.8397,14.2616,34.375,20.378519,2181008.0
grande,3,Anna Griffith,multiThreadPerFile,2,5,23.06746,21.6102,24.65,93.75,33.937314,3192598.4
grande,3,Anna Griffith,multiThreadPerFile,4,5,23.034100000000002,22.7513,23.5763,93.75,33.869794,5205921.6
grande,3,Anna Griffith,multiThreadPerFile,8,5,24.09588,23.3322,24.8489,112.5,38.9674902,8393563.2
grande,3,Anna Griffith,oneThreadPerFile,0,5,42.51694,35.116,49.7835,312.5,60.4828078,8388667.2
grande,3,Anna Griffith,sequencial,0,5,13.56532,13.3923,13.6666,40.625,25.0063356,1375684.8
grande,3,Anna Griffith,singleThread,0,5,15.907779999999999,15.4573,16.2877,31.25,16.419465600000002,2181008.0
grande,4,Kevin Garner,multiThreadPerFile,2,5,32.06024,28.4486,34.8013,109.375,27.8661742,5459792.0
grande,4,Kevin Garner,multiThreadPerFile,4,5,35.62744,30.8263,38.9263,128.125,29.935540600000003,7210651.2
grande,4,Kevin Garner,multiThreadPerFile,8,5,32.43696,29.9664,35.7225,121.875,30.705575599999996,9446121.6
grande,4,Kevin Garner,oneThreadPerFile,0,5,37.793639999999996,34.4928,47.1077,253.125,54.9484768,8422201.6
grande,4,Kevin Garner,sequencial,0,5,21.60886,20.1961,24.1601,81.25,31.1233022,2197384.0
grande,4,Kevin Garner,singleThread,0,5,23.23152,22.6076,24.1723,71.875,25.7118648,4194320.0
grande,5,Christopher Bartlett,multiThreadPerFile,2,5,38.55376,34.752,41.7508,100.0,21.7838904,6375320.0
grande,5,Christopher Bartlett,multiThreadPerFile,4,5,35.759640000000005,33.1062,42.7128,106.25,23.7705088,8644104.0
grande,5,Christopher Bartlett,multiThreadPerFile,8,5,34.67748,33.4234,35.9321,159.375,38.1851484,11640694.4
grande,5,Christopher Bartlett,oneThreadPerFile,0,5,22.69398,21.6222,24.508,178.125,65.5794714,6375328.0
grande,5,Christopher Bartlett,sequencial,0,5,23.74364,22.9965,24.6398,62.5,21.951401,3405379.2
grande,5,Christopher Bartlett,singleThread,0,5,32.40844,25.1628,56.7517,93.75,25.977870799999998,4194320.0
