run_id,timestamp,machine_python,machine_java,dataset,nome_id,nome_sorteado,arquivo_sorteado,linha_sorteada,strategy,threads_per_file,repeticao,success,found,file_name,line_number,line_content,wall_time_ms,wall_time_ns,process_cpu_time_supported,process_cpu_time_ms,cpu_usage_approx_percent,heap_used_before_bytes,heap_used_after_bytes,heap_delta_bytes,available_processors,java_version,os_name,os_arch,error_message
1,2026-05-04T19:31:02,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,sequencial,0,1,True,True,a2.txt,8933,Mrs. Courtney Murray,13.6122,13612200,True,46.875,28.696684,4218264,5392616,1174352,12,25.0.3,Windows 10,amd64,
2,2026-05-04T19:31:02,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,sequencial,0,2,True,True,a2.txt,8933,Mrs. Courtney Murray,13.519,13519000,True,46.875,28.894519,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
3,2026-05-04T19:31:02,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,sequencial,0,3,True,True,a2.txt,8933,Mrs. Courtney Murray,14.7835,14783500,True,31.25,17.615359,4218264,5392616,1174352,12,25.0.3,Windows 10,amd64,
4,2026-05-04T19:31:02,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,sequencial,0,4,True,True,a2.txt,8933,Mrs. Courtney Murray,13.5582,13558200,True,31.25,19.207319,4218264,5392616,1174352,12,25.0.3,Windows 10,amd64,
5,2026-05-04T19:31:02,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,sequencial,0,5,True,True,a2.txt,8933,Mrs. Courtney Murray,13.6584,13658400,True,31.25,19.066411,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
6,2026-05-04T19:31:02,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,singleThread,0,1,True,True,a2.txt,8933,Mrs. Courtney Murray,16.962,16962000,True,31.25,15.352946,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
7,2026-05-04T19:31:02,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,singleThread,0,2,True,True,a2.txt,8933,Mrs. Courtney Murray,17.6586,17658600,True,93.75,44.241899,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
8,2026-05-04T19:31:03,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,singleThread,0,3,True,True,a2.txt,8933,Mrs. Courtney Murray,17.1826,17182600,True,15.625,7.577918,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
9,2026-05-04T19:31:03,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,singleThread,0,4,True,True,a2.txt,8933,Mrs. Courtney Murray,19.0269,19026900,True,15.625,6.843381,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
10,2026-05-04T19:31:03,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,singleThread,0,5,True,True,a2.txt,8933,Mrs. Courtney Murray,16.3313,16331300,True,46.875,23.918794,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
11,2026-05-04T19:31:03,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,oneThreadPerFile,0,1,True,True,a2.txt,8933,Mrs. Courtney Murray,38.9848,38984800,True,265.625,56.779608,4218264,12606912,8388648,12,25.0.3,Windows 10,amd64,
12,2026-05-04T19:31:03,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,oneThreadPerFile,0,2,True,True,a2.txt,8933,Mrs. Courtney Murray,41.9269,41926900,True,437.5,86.956902,4218264,12623264,8405000,12,25.0.3,Windows 10,amd64,
13,2026-05-04T19:31:03,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,oneThreadPerFile,0,3,True,True,a2.txt,8933,Mrs. Courtney Murray,35.3184,35318400,True,250.0,58.987195,4218264,12606928,8388664,12,25.0.3,Windows 10,amd64,
14,2026-05-04T19:31:03,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,oneThreadPerFile,0,4,True,True,a2.txt,8933,Mrs. Courtney Murray,36.9573,36957300,True,281.25,63.417782,4218264,12606912,8388648,12,25.0.3,Windows 10,amd64,
15,2026-05-04T19:31:04,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,oneThreadPerFile,0,5,True,True,a2.txt,8933,Mrs. Courtney Murray,34.4078,34407800,True,265.625,64.332554,4218264,12606920,8388656,12,25.0.3,Windows 10,amd64,
16,2026-05-04T19:31:04,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,multiThreadPerFile,2,1,True,True,a2.txt,8933,Mrs. Courtney Murray,23.5446,23544600,True,62.5,22.121137,4218264,7410864,3192600,12,25.0.3,Windows 10,amd64,
17,2026-05-04T19:31:04,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,multiThreadPerFile,2,2,True,True,a2.txt,8933,Mrs. Courtney Murray,23.1946,23194600,True,109.375,39.296144,4218264,7410864,3192600,12,25.0.3,Windows 10,amd64,
18,2026-05-04T19:31:04,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,multiThreadPerFile,2,3,True,True,a2.txt,8933,Mrs. Courtney Murray,23.0585,23058500,True,31.25,11.293738,4218264,7410864,3192600,12,25.0.3,Windows 10,amd64,
19,2026-05-04T19:31:04,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,multiThreadPerFile,2,4,True,True,a2.txt,8933,Mrs. Courtney Murray,22.8087,22808700,True,109.375,39.960994,4218264,7410864,3192600,12,25.0.3,Windows 10,amd64,
20,2026-05-04T19:31:04,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,multiThreadPerFile,2,5,True,True,a2.txt,8933,Mrs. Courtney Murray,21.0217,21021700,True,93.75,37.163978,4218264,7410864,3192600,12,25.0.3,Windows 10,amd64,
21,2026-05-04T19:31:04,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Mrs. Courtney Murray,a2.txt,8933,multiThreadPerFile,4,1,True,True,a2.txt,8933,Mrs. Courtney Murray,23.0343,23034300,True,46.875,16.958406,4218264,10593584,6375320,12,25.0.3,Windows 10,amd64,
