dataset,nome_id,nome_sorteado,strategy,threads_per_file,quantidade_execucoes,media_wall_time_ms,menor_wall_time_ms,maior_wall_time_ms,media_process_cpu_time_ms,media_cpu_usage_approx_percent,media_heap_delta_bytes
dataset_100x200k,1,Lucas Douglas Camargo Toledo,multiThreadPerFile,2,5,1229.34888,1215.3933,1239.9646,1762.5,11.948639199999999,138083121.6
dataset_100x200k,1,Lucas Douglas Camargo Toledo,multiThreadPerFile,4,5,1280.27038,1239.3838,1311.7478,2081.25,13.550744599999998,157332924.8
dataset_100x200k,1,Lucas Douglas Camargo Toledo,multiThreadPerFile,8,5,1308.85666,1285.1545,1334.6873,2815.625,17.9279316,159881641.6
dataset_100x200k,1,Lucas Douglas Camargo Toledo,oneThreadPerFile,0,5,597.47728,464.3404,703.6308,6406.25,88.90860860000001,183407067.2
dataset_100x200k,1,Lucas Douglas Camargo Toledo,sequencial,0,5,1075.8207,1039.9033,1129.863,1487.5,11.5225738,179735105.6
dataset_100x200k,1,Lucas Douglas Camargo Toledo,singleThread,0,5,1152.90902,1086.1967,1260.711,1546.875,11.1761724,183944067.2
dataset_100x200k,2,Isabela Bianca Rezende Coelho,multiThreadPerFile,2,5,935.7964400000001,916.88,964.326,1578.125,14.047748000000002,16295979.2
dataset_100x200k,2,Isabela Bianca Rezende Coelho,multiThreadPerFile,4,5,955.1604800000001,941.0335,970.199,1834.375,15.9948556,35714721.6
dataset_100x200k,2,Isabela Bianca Rezende Coelho,multiThreadPerFile,8,5,1016.43954,980.1793,1091.3167,2465.625,20.2047326,39075713.6
dataset_100x200k,2,Isabela Bianca Rezende Coelho,oneThreadPerFile,0,5,405.91442,157.0627,563.4919,4221.875,85.80506399999999,143332483.2
dataset_100x200k,2,Isabela Bianca Rezende Coelho,sequencial,0,5,780.79782,776.5841,790.7057,1137.5,12.138684399999999,141990027.2
dataset_100x200k,2,Isabela Bianca Rezende Coelho,singleThread,0,5,823.64958,778.2584,852.0293,1175.0,11.878426600000001,146200188.8
dataset_100x200k,3,Karina Fernanda Moreira Franco,multiThreadPerFile,2,5,1131.00658,1107.8218,1167.6484,1759.375,12.9478526,274883318.4
dataset_100x200k,3,Karina Fernanda Moreira Franco,multiThreadPerFile,4,5,1150.70532,1135.1333,1164.2365,2037.5,14.753596400000001,293499740.8
dataset_100x200k,3,Karina Fernanda Moreira Franco,multiThreadPerFile,8,5,1185.66796,1149.5356,1241.0552,2618.75,18.411827199999998,296746113.6
dataset_100x200k,3,Karina Fernanda Moreira Franco,oneThreadPerFile,0,5,459.50296,155.9439,739.3041,4403.125,75.12723220000001,129820536.0
dataset_100x200k,3,Karina Fernanda Moreira Franco,sequencial,0,5,1020.6798000000001,966.9088,1127.7061,1415.625,11.5472302,35033555.2
dataset_100x200k,3,Karina Fernanda Moreira Franco,singleThread,0,5,968.52878,956.0163,986.9941,1350.0,11.6154178,39238484.8
dataset_100x200k,4,Olivia Flavia Figueiredo Monteiro,multiThreadPerFile,2,5,1527.03204,1490.6026,1579.0551,2253.125,12.3024182,191181267.2
dataset_100x200k,4,Olivia Flavia Figueiredo Monteiro,multiThreadPerFile,4,5,1555.2517199999998,1540.1106,1571.9813,2450.0,13.1268836,208924326.4
dataset_100x200k,4,Olivia Flavia Figueiredo Monteiro,multiThreadPerFile,8,5,1606.08786,1587.5117,1658.8041,2950.0,15.3070178,227323427.2
dataset_100x200k,4,Olivia Flavia Figueiredo Monteiro,oneThreadPerFile,0,5,517.8106399999999,250.1239,698.7673,5403.125,87.1060986,188171640.0
dataset_100x200k,4,Olivia Flavia Figueiredo Monteiro,sequencial,0,5,1309.60828,1287.8997,1323.5303,1696.875,10.7978502,169256438.4
dataset_100x200k,4,Olivia Flavia Figueiredo Monteiro,singleThread,0,5,1332.8974,1283.0431,1422.1723,1693.75,10.588461599999999,173451100.8
dataset_100x200k,5,Nicolas Jorge Rezende Souza,multiThreadPerFile,2,5,1443.49084,1411.588,1518.4935,2125.0,12.2543556,68376348.8
dataset_100x200k,5,Nicolas Jorge Rezende Souza,multiThreadPerFile,4,5,1508.3341,1456.7162,1622.3067,2528.125,13.9903222,87334982.4
dataset_100x200k,5,Nicolas Jorge Rezende Souza,multiThreadPerFile,8,5,1565.80438,1522.6701,1604.9168,3234.375,17.231925999999998,105513273.6
dataset_100x200k,5,Nicolas Jorge Rezende Souza,oneThreadPerFile,0,5,1046.33946,530.4228,2761.6965,11168.75,87.57915519999999,162616484.8
dataset_100x200k,5,Nicolas Jorge Rezende Souza,sequencial,0,5,1243.31654,1229.4552,1259.1986,1568.75,10.514317199999999,80328787.2
dataset_100x200k,5,Nicolas Jorge Rezende Souza,singleThread,0,5,1252.2684000000002,1231.075,1277.53,1637.5,10.89954,79078030.4
