run_id,timestamp,machine_python,machine_java,dataset,nome_id,nome_sorteado,arquivo_sorteado,linha_sorteada,strategy,threads_per_file,repeticao,success,found,file_name,line_number,line_content,wall_time_ms,wall_time_ns,process_cpu_time_supported,process_cpu_time_ms,cpu_usage_approx_percent,heap_used_before_bytes,heap_used_after_bytes,heap_delta_bytes,available_processors,java_version,os_name,os_arch,error_message
1,2026-05-17T16:31:16,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,sequencial,0,1,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1069.2089,1069208900,True,1578.125,12.299787,4218264,183949648,179731384,12,25.0.3,Windows 10,amd64,
2,2026-05-17T16:31:17,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,sequencial,0,2,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1039.9033,1039903300,True,1390.625,11.143865,4218264,183947112,179728848,12,25.0.3,Windows 10,amd64,
3,2026-05-17T16:31:18,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,sequencial,0,3,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1129.863,1129863000,True,1500.0,11.063288,4218264,183963848,179745584,12,25.0.3,Windows 10,amd64,
4,2026-05-17T16:31:20,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,sequencial,0,4,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1052.4002,1052400200,True,1406.25,11.13526,4218264,183949928,179731664,12,25.0.3,Windows 10,amd64,
5,2026-05-17T16:31:21,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,sequencial,0,5,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1087.7281,1087728100,True,1562.5,11.970669,4218264,183956312,179738048,12,25.0.3,Windows 10,amd64,
6,2026-05-17T16:31:22,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,singleThread,0,1,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1086.1967,1086196700,True,1421.875,10.908667,4218264,188158728,183940464,12,25.0.3,Windows 10,amd64,
7,2026-05-17T16:31:23,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,singleThread,0,2,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1091.0029,1091002900,True,1515.625,11.576695,4218264,188160360,183942096,12,25.0.3,Windows 10,amd64,
8,2026-05-17T16:31:25,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,singleThread,0,3,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1127.4202,1127420200,True,1468.75,10.856275,4218264,188153112,183934848,12,25.0.3,Windows 10,amd64,
9,2026-05-17T16:31:26,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,singleThread,0,4,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1199.2143,1199214300,True,1593.75,11.07496,4218264,188165432,183947168,12,25.0.3,Windows 10,amd64,
10,2026-05-17T16:31:28,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,dataset_100x200k,1,Lucas Douglas Camargo Toledo,arq_78.txt,84128,singleThread,0,5,True,True,arq_78.txt,84128,Lucas Douglas Camargo Toledo,1260.711,1260711000,True,1734.375,11.464265,4218264,188174024,183955760,12,25.0.3,Windows 10,amd64,
